web-scraper-order,web-scraper-start-url,offer_url,offer_url-href,location,net_price,deposit,area,room_num,build_type,floor,total_floor,build_mat,windows,heating,year_built,status,agd,security,add_info,rest_info,offer_ID,next_pagination,next_pagination-href,add_cost,offer_last_update,second_page,second_page-href,third_page,third_page-href
1612272451-2797,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"57 m²
                    
                        Ładne 2-pokojowe mieszkanie 57 mkw - BEZPOŚREDNIO",https://www.otodom.pl/pl/oferta/ladne-2-pokojowe-mieszkanie-57-mkw-bezposrednio-ID49T0u.html#5b38a96bcb,"Warszawa, Praga-Południe, ul. Spalinowa",2 000 zł,Kaucja:2 450 zł,Powierzchnia:57 m²,Liczba pokoi:2,Rodzaj zabudowy:dom wolnostojący,Piętro:poddasze,Liczba pięter:2,Materiał budynku:cegła,Okna:aluminiowe,Ogrzewanie:kotłownia,,Stan wykończenia:do zamieszkania,kuchenka,system alarmowydrzwi / okna antywłamanioweteren zamkniętydomofon / wideofonmonitoring / ochrona,klimatyzacjabalkonpiwnicagaraż/miejsce parkingowe,,Nr oferty w Otodom: 61461746,,,Czynsz - dodatkowo:450 zł,Data aktualizacji: godzinę temu,,,,
1612436148-88,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"42 m²
                    
                        Przytulne dwa pokoje, 42 m , Bródno - bezpośrednio",https://www.otodom.pl/pl/oferta/przytulne-dwa-pokoje-42-m-brodno-bezposrednio-ID49TNe.html#5b38a96bcb,"Warszawa, Targówek, Bródno, ul. Rembielińska",1 800 zł,Kaucja:2 000 zł,Powierzchnia:42 m²,Liczba pokoi:2,Rodzaj zabudowy:blok,Piętro:10,Liczba pięter:10,Materiał budynku:wielka płyta,Okna:plastikowe,,,Stan wykończenia:do zamieszkania,lodówkameblepiekarnikkuchenkatelewizorpralka,balkonpiwnicawindaoddzielna kuchnia,,,Nr oferty w Otodom: 61464768,,,Czynsz - dodatkowo:400 zł,Data aktualizacji: 2 dni temu,,,,
1612436257-130,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"53 m²
                    
                        3 pokojowe mieszkanie do wynajęcia, atrakcyjna cen",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-do-wynajecia-atrakcyjna-cen-ID49W4m.html#5b38a96bcb,"Warszawa, Żoliborz, Literacka 14",2 100 zł,,Powierzchnia:53 m²,Liczba pokoi:3,Rodzaj zabudowy:blok,Piętro:1,Liczba pięter:4,,Okna:plastikowe,Ogrzewanie:miejskie,,Stan wykończenia:do zamieszkania,lodówkameblepiekarnikkuchenkapralka,drzwi / okna antywłamaniowedomofon / wideofon,balkonpiwnicatylko dla niepalącychoddzielna kuchnia,wynajmę również studentom,Nr oferty w Otodom: 61469674,,,,Data aktualizacji: 15 godzin temu,,,,
1612436072-57,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"55 m²
                    
                        Browary 55 metrów 1 Sypialnia Bez Prowizji Pets OK",https://www.otodom.pl/pl/oferta/browary-55-metrow-1-sypialnia-bez-prowizji-pets-ok-ID49TjZ.html#d857922b87,"Warszawa, Śródmieście",2 900 zł,,Powierzchnia:55 m²,Liczba pokoi:2,Rodzaj zabudowy:apartamentowiec,Piętro:7,Liczba pięter:8,,,,Rok budowy:20202,,,,,,Nr oferty w Otodom: 61462955,,,Czynsz - dodatkowo:1 zł,Data aktualizacji: 2 dni temu,2.0,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=2,,
1612436136-83,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"38 m²
                    
                        Kawalerka Warszawa Włochy",https://www.otodom.pl/pl/oferta/kawalerka-warszawa-wlochy-ID49TJC.html#5b38a96bcb,"Warszawa, Włochy, ul. Fasolowa",1 800 zł,,Powierzchnia:38 m²,Liczba pokoi:1,,Piętro:3,Liczba pięter:5,,Okna:drewniane,Ogrzewanie:miejskie,Rok budowy:2012,Stan wykończenia:do zamieszkania,lodówkameblepiekarnikpralka,drzwi / okna antywłamaniowedomofon / wideofonmonitoring / ochrona,telewizja kablowainternet,balkon,Nr oferty w Otodom: 61464544,,,Czynsz - dodatkowo:1 zł,Data aktualizacji: 2 dni temu,,,,
1612436289-143,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"24 m²
                    
                        Wileńska 33",https://www.otodom.pl/pl/oferta/wilenska-33-ID49Wl4.html#5b38a96bcb,"Warszawa, Praga-Północ, Stara Praga",1 400 zł,Kaucja:1 400 zł,Powierzchnia:24 m²,Liczba pokoi:1,Rodzaj zabudowy:kamienica,Piętro:5,Liczba pięter:5,Materiał budynku:cegła,Okna:plastikowe,Ogrzewanie:elektryczne,Rok budowy:2001,Stan wykończenia:do zamieszkania,lodówkameblekuchenkapralka,drzwi / okna antywłamaniowedomofon / wideofonmonitoring / ochrona,winda,,Nr oferty w Otodom: 61470710,,,Czynsz - dodatkowo:350 zł,Data aktualizacji: godzinę temu,,,,
1612436218-116,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"55,58 m²
                    
                        przytulne mieszkanie Mokotów ul.Cybernetyki",https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-mokotow-ul-cybernetyki-ID49ULk.html#5b38a96bcb,"Warszawa, Mokotów, ul. Cybernetyki",3 300 zł,Kaucja:3 300 zł,"Powierzchnia:55,58 m²",Liczba pokoi:3,Rodzaj zabudowy:apartamentowiec,Piętro:4,Liczba pięter:7,Materiał budynku:cegła,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:2020,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkatelewizorpralka,teren zamkniętydomofon / wideofon,telewizja kablowainternettelefon,balkongaraż/miejsce parkingowewinda,Nr oferty w Otodom: 61468494,,,Czynsz - dodatkowo:370 zł,Data aktualizacji: 19 godzin temu,,,,
1612436259-131,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"41 m²
                    
                        Brand NEW! Stylish Design",https://www.otodom.pl/pl/oferta/brand-new-stylish-design-ID49W4p.html#5b38a96bcb,"Warszawa, Mokotów, ul. Taśmowa",2 200 zł,Kaucja:2 800 zł,Powierzchnia:41 m²,Liczba pokoi:2,Rodzaj zabudowy:blok,Piętro:4,Liczba pięter:6,,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:2020,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkatelewizorpralka,domofon / wideofonmonitoring / ochrona,telewizja kablowainternet,balkongaraż/miejsce parkingowewindatylko dla niepalących,Nr oferty w Otodom: 61469677,,,Czynsz - dodatkowo:450 zł,Data aktualizacji: 14 godzin temu,,,,
1612436200-109,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"47 m²
                    
                        Umeblowane mieszkanie ,świeżo po remoncie",https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-swiezo-po-remoncie-ID49UpJ.html#5b38a96bcb,"Warszawa, Śródmieście, Śródmieście Południowe, ul. Tadeusza Boya-Żeleńskiego",2 900 zł,Kaucja:2 900 zł,Powierzchnia:47 m²,Liczba pokoi:2,Rodzaj zabudowy:kamienica,Piętro:3,Liczba pięter:5,Materiał budynku:cegła,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:1945,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkapralka,domofon / wideofon,piwnicawindatylko dla niepalących,,Nr oferty w Otodom: 61467155,,,Czynsz - dodatkowo:150 zł,Data aktualizacji: 1 dzień temu,,,,
1612436173-98,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"60 m²
                    
                        Nowy, luksusowy apartament w Koneserze- 3 pokoje",https://www.otodom.pl/pl/oferta/nowy-luksusowy-apartament-w-koneserze-3-pokoje-ID49Uec.html#5b38a96bcb,"Warszawa, Praga-Północ, Plac Konesera 6",3 000 zł,Kaucja:4 000 zł,Powierzchnia:60 m²,Liczba pokoi:3,Rodzaj zabudowy:apartamentowiec,Piętro:2,Liczba pięter:5,Materiał budynku:cegła,Okna:aluminiowe,Ogrzewanie:miejskie,Rok budowy:2019,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkapralka,drzwi / okna antywłamanioweteren zamkniętydomofon / wideofonmonitoring / ochrona,telewizja kablowainternet,klimatyzacjabalkongaraż/miejsce parkingowewindataras,Nr oferty w Otodom: 61466440,,,,Data aktualizacji: 1 dzień temu,,,,
